allergen_id,token,token_type,canonical_name
34.0,chicken powder,ingredient,chicken
34.0,chicken breast,ingredient,chicken
34.0,chicken fat,ingredient,chicken
34.0,chicken lard,ingredient,chicken
34.0,chicken,,chicken
34.0,chicken stock,ingredient,chicken
34.0,roast chicken,ingredient,chicken
34.0,chicken extract,ingredient,chicken
34.0,chicken thigh,ingredient,chicken
34.0,chicken broth,ingredient,chicken
35.0,banana juice,ingredient,banana
35.0,banana powder,ingredient,banana
35.0,banana extract,ingredient,banana
35.0,banana puree,ingredient,banana
35.0,dried banana,ingredient,banana
35.0,banana,,banana
36.0,pork fat,ingredient,pork
36.0,prosciutto,ingredient,pork
36.0,ground pork,ingredient,pork
36.0,pork,,pork
36.0,pork belly,ingredient,pork
36.0,pork extract,ingredient,pork
36.0,ham,ingredient,pork
36.0,lard,ingredient,pork
36.0,pork lard,ingredient,pork
36.0,pork powder,ingredient,pork
36.0,pork stock,ingredient,pork
36.0,pork rinds,ingredient,pork
36.0,bacon,ingredient,pork
38.0,peach extract,ingredient,peach
38.0,peach,,peach
38.0,peach puree,ingredient,peach
38.0,peach juice,ingredient,peach
38.0,dried peach,ingredient,peach
39.0,nagaimo,ingredient,yam
39.0,yam powder,ingredient,yam
39.0,yamaimo,ingredient,yam
